gene,product,location
N/A,hypothetical protein,[43:751](+)
N/A,hypothetical protein,[750:900](+)
N/A,hypothetical protein,[896:1115](+)
N/A,hypothetical protein,[1309:1666](+)
N/A,hypothetical protein,[1795:2059](+)
N/A,hypothetical protein,[2233:3043](+)
N/A,hypothetical protein,[3042:3195](+)
N/A,hypothetical protein,[3191:4085](+)
N/A,hypothetical protein,[4085:4634](+)
N/A,hypothetical protein,[4630:4777](+)
N/A,hypothetical protein,[4946:6017](+)
N/A,hypothetical protein,[6237:6624](-)
N/A,DNA-(apurinic or apyrimidinic site) lyase,[6729:7389](-)
dapB,4-hydroxy-tetrahydrodipicolinate reductase,[7396:8161](-)
npdA,NAD-dependent protein deacylase,[8281:8980](+)
N/A,hypothetical protein,[8976:9765](-)
N/A,hypothetical protein,[9913:10513](-)
N/A,hypothetical protein,[10669:10861](-)
N/A,Trigger factor,[11131:12739](+)
dpm1,Dolichyl-phosphate beta-D-mannosyltransferase,[12872:13850](+)
clpP,Endopeptidase Clp,[13939:14575](+)
N/A,ATP-dependent Clp protease ATP-binding subunit ClpX,[14707:15976](+)
mtgA,Monofunctional biosynthetic peptidoglycan transglycosylase,[16092:16788](-)
N/A,Tetracenomycin polyketide synthesis 8-O-methyl transferase TcmO,[16943:17969](+)
N/A,RNA polymerase sigma factor RpoH,[18026:18938](-)
rluD,23S rRNA pseudouridine(1911/1915/1917) synthase,[19014:19965](-)
N/A,Desampylase,[20021:20384](+)
N/A,hypothetical protein,[20475:21129](+)
ncd2,Nitronate monooxygenase,[21125:22178](-)
glnA,Glutamate--ammonia ligase,[22732:24145](-)
N/A,Nitrogen regulatory protein P-II,[24246:24585](-)
N/A,Methionyl aminopeptidase,[24826:25651](-)
N/A,FAD synthetase,[25742:26504](+)
N/A,(2S)-methylsuccinyl-CoA dehydrogenase,[26608:28291](-)
paaF,Enoyl-CoA hydratase,[28287:29154](-)
fabG,3-oxoacyl-[acyl-carrier-protein] reductase,[29165:29948](-)
N/A,Formyl-CoA transferase,[29944:31198](-)
N/A,Cytochrome c type-2,[31338:31713](-)
atoB,Acetyl-CoA C-acetyltransferase,[31807:33004](-)
dcaA,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",[33123:34275](-)
N/A,NADPH-dependent curcumin reductase,[34307:35321](-)
N/A,Medium-chain acyl-CoA dehydrogenase,[35332:36460](-)
N/A,Medium-chain acyl-CoA dehydrogenase,[36486:37671](-)
N/A,putative cytochrome P450 127A1,[37853:39080](+)
N/A,hypothetical protein,[39092:39284](+)
N/A,putative carboxypeptidase PM20D1,[39280:40675](+)
N/A,Aldehyde dehydrogenase (NAD(+)),[40684:42160](-)
N/A,Putative sialic acid transporter,[42172:43555](-)
N/A,Vitamin B12 transporter BtuB,[43898:46904](+)
ugdH,UDP-glucose 6-dehydrogenase,[47214:48558](+)
N/A,hypothetical protein,[48675:50067](+)
exoM,Succinoglycan biosynthesis protein ExoM,[50051:50981](-)
N/A,hypothetical protein,[50977:52063](-)
xynA,"Endo-1,4-beta-xylanase",[52059:53187](-)
N/A,putative glycosyltransferase YibD,[53183:54152](-)
waaV,putative glycosyltransferase,[54151:55096](-)
N/A,hypothetical protein,[55092:56022](-)
N/A,hypothetical protein,[56014:57379](-)
N/A,hypothetical protein,[57378:58656](-)
tagA,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase,[58648:59449](-)
N/A,Receptor protein-tyrosine kinase,[59445:60357](-)
N/A,Succinoglycan biosynthesis transport protein ExoP,[60353:61712](-)
N/A,hypothetical protein,[61708:63136](-)
N/A,hypothetical protein,[63132:63954](-)
N/A,hypothetical protein,[63980:65054](-)
N/A,Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase,[65826:67218](-)
N/A,Transcriptional regulatory protein GlrR,[68170:68545](+)
N/A,hypothetical protein,[68541:69666](+)
N/A,hypothetical protein,[69839:70640](+)
pgaC,"Poly-beta-1,6-N-acetyl-D-glucosamine synthase",[70639:72079](+)
N/A,hypothetical protein,[72126:72822](+)
N/A,hypothetical protein,[72878:73556](+)
N/A,Insertion sequence IS21 putative ATP-binding protein,[73831:74629](-)
N/A,Transposase for insertion sequence element IS640,[74628:75924](-)
N/A,Rod shape-determining protein MreB,[76157:77195](+)
N/A,Putative lipid II flippase FtsW,[77929:79045](-)
N/A,Penicillin-binding protein,[79041:81111](-)
N/A,hypothetical protein,[81107:81635](-)
N/A,Cell shape-determining protein MreC,[81631:82546](-)
N/A,MreB-like protein,[82563:83610](-)
N/A,DNA mismatch repair protein MutL,[83770:85555](+)
N/A,hypothetical protein,[85557:86100](+)
N/A,Itaconyl-CoA hydratase,[86103:86568](-)
N/A,hypothetical protein,[86615:87146](-)
N/A,Ribosome-binding ATPase YchF,[87149:88250](-)
N/A,uncharacterized protein,[88319:88910](-)
N/A,"Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)",[89086:90721](-)
pth1,Aminoacyl-tRNA hydrolase,[90978:91548](-)
N/A,50S ribosomal protein L25,[91719:92334](-)
N/A,hypothetical protein,[92510:93389](-)
N/A,hypothetical protein,[93385:94438](-)
N/A,Glycine--tRNA ligase,[94462:95335](+)
glyS,Glycine--tRNA ligase,[95322:97533](+)
ppdK,"Pyruvate, phosphate dikinase",[97678:100378](+)
nuoE,NADH:ubiquinone reductase (H(+)-translocating),[100434:100875](-)
N/A,putative 29.3 kDa protein,[101145:102072](-)
N/A,Serralysin,[102675:106629](+)
N/A,hypothetical protein,[106648:108046](+)
N/A,hypothetical protein,[108042:108891](+)
N/A,hypothetical protein,[108887:110630](+)
N/A,hypothetical protein,[110626:112162](+)
N/A,hypothetical protein,[112161:113112](+)
N/A,hypothetical protein,[113108:113972](+)
N/A,hypothetical protein,[113968:115462](+)
N/A,Leukotoxin secretion protein,[115474:116845](-)
N/A,Type I secretion system ATP-binding protein PrsD,[116867:118613](-)
cobQ,Adenosylcobyric acid synthase (glutamine-hydrolyzing),[118725:120180](-)
